rank,phase,hostile_rank,paper_id,title,year,venue,authors,doi,url,cited_by_count,source_query,relevance_score,hostile_relevance,topic_tags,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract
1,hostile_prior,1,https://openalex.org/W2967349569,Online Planning for Target Object Search in Clutter under Partial Observability,2019,,Yuchen Xiao; Sammie Katt; Andreas ten Pas; Shengjian Chen; Christopher Amato,https://doi.org/10.1109/icra.2019.8793494,https://doi.org/10.1109/icra.2019.8793494,68,robot planning under uncertainty belief state POMDP,29.3171,4.3,POMDP/belief planning; manipulation/contact; navigation/localization; learning/world models,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"The problem of finding and grasping a target object in a cluttered, uncertain environment, target object search, is a common and important problem in robotics. One key challenge is the uncertainty of locating and recognizing each object in a cluttered environment due to noisy perception and occlusions. Furthermore, the uncertainty in localization makes manipulation difficult and uncertain. To cope with these challenges, we formulate the target object search task as a partially observable Markov decision process (POMDP), enabling the robot to reason about perceptual and manipulation uncertainty while searching. To further address the manipulation difficulty, we propose Parameterized Action Partially Observable Monte-Carlo Planning (PA-POMCP), an algorithm that evaluates manipulation actions by taking into account the effect of the robot's current belief on the success of the action execution. In addition, a novel run-time initial belief generator and a state value estimator are introduced in this paper to facilitate the PA-POMCP algorithm. Our experiments show that our methods solve the target object search task in settings where simpler methods either take more object movements or fail."
2,hostile_prior,2,https://openalex.org/W4414183612,Decision-Making for Path Planning of Mobile Robots Under Uncertainty: A Review of Belief-Space Planning Simplifications,2025,Robotics,V. Malathi; Pramod Sreedharan; P. R. Rthuraj; Vyshnavi Anil Kumar; Anil Lal Sadasivan; Ganesha Udupa; Liam Pastorelli; Andrea Troppina,https://doi.org/10.3390/robotics14090127,https://doi.org/10.3390/robotics14090127,5,robotics partial observability POMDP belief space planning | robot planning under uncertainty belief state POMDP,28.6959,5.3,POMDP/belief planning; navigation/localization; motion planning/MPC; robust/risk/chance; learning/world models; task abstraction,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"Uncertainty remains a central challenge in robotic navigation, exploration, and coordination. This paper examines how Partially Observable Markov Decision Processes (POMDPs) and their decentralized variants (Dec-POMDPs) provide a rigorous foundation for decision-making under partial observability across tasks such as Active Simultaneous Localization and Mapping (A-SLAM), adaptive informative path planning, and multi-robot coordination. We review recent advances that integrate deep reinforcement learning (DRL) with POMDP formulations, highlighting improvements in scalability and adaptability as well as unresolved challenges of robustness, interpretability, and sim-to-real transfer. To complement learning-driven methods, we discuss emerging strategies that embed probabilistic reasoning directly into navigation, including belief-space planning, distributionally robust control formulations, and probabilistic graph models such as enhanced probabilistic roadmaps (PRMs) and Canadian Traveler Problem-based roadmaps. These approaches collectively demonstrate that uncertainty can be managed more effectively by coupling structured inference with data-driven adaptation. The survey concludes by outlining future research directions, emphasizing hybrid learning–planning architectures, neuro-symbolic reasoning, and socially aware navigation frameworks as critical steps toward resilient, transparent, and human-centered autonomy."
3,hostile_prior,3,https://openalex.org/W2010780110,Planning under Uncertainty for Robotic Tasks with Mixed Observability,2010,The International Journal of Robotics Research,Sylvie C. W. Ong; Shao Wei Png; David Hsu; Wee Sun Lee,https://doi.org/10.1177/0278364910369861,https://doi.org/10.1177/0278364910369861,238,robot planning under uncertainty belief state POMDP,27.8382,3.8,POMDP/belief planning; motion planning/MPC,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"Partially observable Markov decision processes (POMDPs) provide a principled, general framework for robot motion planning in uncertain and dynamic environments. They have been applied to various robotic tasks. However, solving POMDPs exactly is computationally intractable. A major challenge is to scale up POMDP algorithms for complex robotic tasks. Robotic systems often have mixed observability : even when a robot’s state is not fully observable, some components of the state may still be so. We use a factored model to represent separately the fully and partially observable components of a robot’s state and derive a compact lower-dimensional representation of its belief space. This factored representation can be combined with any point-based algorithm to compute approximate POMDP solutions. Experimental results show that on standard test problems, our approach improves the performance of a leading point-based POMDP algorithm by many times."
4,hostile_prior,4,https://openalex.org/W1988314515,Motion planning under uncertainty for robotic tasks with long time horizons,2010,The International Journal of Robotics Research,Hanna Kurniawati; Yanzhu Du; David Hsu; Wee Sun Lee,https://doi.org/10.1177/0278364910386986,https://doi.org/10.1177/0278364910386986,133,robot planning under uncertainty belief state POMDP,27.5489,3.8,POMDP/belief planning; motion planning/MPC,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"Motion planning with imperfect state information is a crucial capability for autonomous robots to operate reliably in uncertain and dynamic environments. Partially observable Markov decision processes (POMDPs) provide a principled general framework for planning under uncertainty. Using probabilistic sampling, point-based POMDP solvers have drastically improved the speed of POMDP planning, enabling us to handle moderately complex robotic tasks. However, robot motion planning tasks with long time horizons remains a severe obstacle for even the fastest point-based POMDP solvers today. This paper proposes Milestone Guided Sampling (MiGS), a new point-based POMDP solver, which exploits state space information to reduce effective planning horizons. MiGS samples a set of points, called milestones , from a robot’s state space and constructs a simplified representation of the state space from the sampled milestones. It then uses this representation of the state space to guide sampling in the belief space and tries to capture the essential features of the belief space with a small number of sampled points. Preliminary results are very promising. We tested MiGS in simulation on several difficult POMDPs that model distinct robotic tasks with long time horizons in both 2-D and 3-D environments. These POMDPs are impossible to solve with the fastest point-based solvers today, but MiGS solved them in a few minutes."
5,hostile_prior,5,https://openalex.org/W2099430963,SARSOP: Efficient Point-Based POMDP Planning by Approximating Optimally Reachable Belief Spaces,2008,,Hanna Kurniawati; David Hsu; Wee Sun Lee,https://doi.org/10.15607/rss.2008.iv.009,https://doi.org/10.15607/rss.2008.iv.009,782,robot planning under uncertainty belief state POMDP,27.4316,3.3,POMDP/belief planning; manipulation/contact; navigation/localization; motion planning/MPC,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"Motion planning in uncertain and dynamic environments is an essential capability for autonomous robots. Partially observable Markov decision processes (POMDPs) provide a principled mathematical framework for solving such problems, but they are often avoided in robotics due to high computational complexity. Our goal is to create practical POMDP algorithms and software for common robotic tasks. To this end, we have developed a new point-based POMDP algorithm that exploits the notion of optimally reachable belief spaces to improve computational efficiency. In simulation, we successfully applied the algorithm to a set of common robotic tasks, including instances of coastal navigation, grasping, mobile robot exploration, and target tracking, all modeled as POMDPs with a large number of states. In most of the instances studied, our algorithm substantially outperformed one of the fastest existing point-based algorithms. A software package implementing our algorithm is available for download at http://motion.comp."
6,hostile_prior,6,https://openalex.org/W4405759993,Mori-zwanzig approach for belief abstraction with application to belief space planning,2024,Autonomous Robots,Mengxue Hou; Tony X. Lin; Enlu Zhou; Fumin Zhang,https://doi.org/10.1007/s10514-024-10185-1,https://doi.org/10.1007/s10514-024-10185-1,2,robotics partial observability POMDP belief space planning | robot planning under uncertainty belief state POMDP,27.3493,3.8,POMDP/belief planning; learning/world models; task abstraction,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"Abstract We propose a learning-based method to extract symbolic representations of the belief state and its dynamics in order to solve planning problems in a continuous-state partially observable Markov decision processes (POMDP) problem. While existing approaches typically parameterize the continuous-state POMDP into a finite-dimensional Markovian model, they are unable to preserve fidelity of the abstracted model. To improve accuracy of the abstracted representation, we introduce a memory-dependent abstraction approach to mitigate the modeling error. The first major contribution of this paper is we propose a Neural Network based method to learn the non-Markovian transition model based on the Mori-Zwanzig (M-Z) formalism. Different from existing work in applying M-Z formalism to autonomous time-invariant systems, our approach is the first work generalizing the M-Z formalism to robotics, by addressing the non-Markovian modeling of the belief dynamics that is dependent on historical observations and actions. The second major contribution is we theoretically show that modeling the non-Markovian memory effect in the abstracted belief dynamics improves the modeling accuracy, which is the key benefit of the proposed algorithm. Simulation experiment of a belief space planning problem is provided to validate the performance of the proposed belief abstraction algorithms."
7,hostile_prior,7,https://openalex.org/W1886379263,Decentralized control of Partially Observable Markov Decision Processes using belief space macro-actions,2015,,Shayegan Omidshafiei; Ali‐akbar Agha‐mohammadi; Christopher Amato; Jonathan P. How,https://doi.org/10.1109/icra.2015.7140035,https://doi.org/10.1109/icra.2015.7140035,62,robotics partial observability POMDP belief space planning,26.8716,3.8,POMDP/belief planning; robust/risk/chance,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"The focus of this paper is on solving multi-robot planning problems in continuous spaces with partial observability. Decentralized Partially Observable Markov Decision Processes (Dec-POMDPs) are general models for multi-robot coordination problems, but representing and solving Dec-POMDPs is often intractable for large problems. To allow for a high-level representation that is natural for multi-robot problems and scalable to large discrete and continuous problems, this paper extends the Dec-POMDP model to the Decentralized Partially Observable Semi-Markov Decision Process (Dec-POSMDP). The Dec-POSMDP formulation allows asynchronous decision-making by the robots, which is crucial in multi-robot domains. We also present an algorithm for solving this Dec-POSMDP which is much more scalable than previous methods since it can incorporate closed-loop belief space macro-actions in planning. These macro-actions are automatically constructed to produce robust solutions. The proposed method's performance is evaluated on a complex multi-robot package delivery problem under uncertainty, showing that our approach can naturally represent multi-robot problems and provide high-quality solutions for large-scale problems."
8,hostile_prior,8,https://openalex.org/W2597337536,Decentralized control of multi-robot partially observable Markov decision processes using belief space macro-actions,2017,The International Journal of Robotics Research,Shayegan Omidshafiei; Ali–akbar Agha–mohammadi; Christopher Amato; Shih‐Yuan Liu; Jonathan P. How; John Vian,https://doi.org/10.1177/0278364917692864,https://doi.org/10.1177/0278364917692864,60,robotics partial observability POMDP belief space planning,26.8554,3.8,POMDP/belief planning; robust/risk/chance,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"This work focuses on solving general multi-robot planning problems in continuous spaces with partial observability given a high-level domain description. Decentralized Partially Observable Markov Decision Processes (Dec-POMDPs) are general models for multi-robot coordination problems. However, representing and solving Dec-POMDPs is often intractable for large problems. This work extends the Dec-POMDP model to the Decentralized Partially Observable Semi-Markov Decision Process (Dec-POSMDP) to take advantage of the high-level representations that are natural for multi-robot problems and to facilitate scalable solutions to large discrete and continuous problems. The Dec-POSMDP formulation uses task macro-actions created from lower-level local actions that allow for asynchronous decision-making by the robots, which is crucial in multi-robot domains. This transformation from Dec-POMDPs to Dec-POSMDPs with a finite set of automatically-generated macro-actions allows use of efficient discrete-space search algorithms to solve them. The paper presents algorithms for solving Dec-POSMDPs, which are more scalable than previous methods since they can incorporate closed-loop belief space macro-actions in planning. These macro-actions are automatically constructed to produce robust solutions. The proposed algorithms are then evaluated on a complex multi-robot package delivery problem under uncertainty, showing that our approach can naturally represent realistic problems and provide high-quality solutions for large-scale problems."
9,hostile_prior,9,https://openalex.org/W2347054806,Uncertainty based online planning for UAV target finding in cluttered and GPS-denied environments,2016,,Fernando Vanegas; Felipé Gonzalez,https://doi.org/10.1109/aero.2016.7500566,https://doi.org/10.1109/aero.2016.7500566,25,robotics partial observability POMDP belief space planning | robot planning under uncertainty belief state POMDP,26.729,4.3,POMDP/belief planning; manipulation/contact; navigation/localization; motion planning/MPC,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"There are some scenarios in which Unmmaned Aerial Vehicle (UAV) navigation becomes a challenge due to the occlusion of GPS systems signal, the presence of obstacles and constraints in the space in which a UAV operates. An additional challenge is presented when a target whose location is unknown must be found within a confined space. In this paper we present a UAV navigation and target finding mission, modelled as a Partially Observable Markov Decision Process (POMDP) using a state-of-the-art online solver in a real scenario using a low cost commercial multi rotor UAV and a modular system architecture running under the Robotic Operative System (ROS). Using POMDP has several advantages to conventional approaches as they take into account uncertainties in sensor information. We present a framework for testing the mission with simulation tests and real flight tests in which we model the system dynamics and motion and perception uncertainties. The system uses a quad-copter aircraft with an board downwards looking camera without the need of GPS systems while avoiding obstacles within a confined area. Results indicate that the system has 100% success rate in simulation and 80% rate during flight test for finding targets located at different locations."
10,hostile_prior,10,https://openalex.org/W3105198771,PODDP: Partially Observable Differential Dynamic Programming for Latent Belief Space Planning,2019,arXiv (Cornell University),Dicong Qiu; Yibiao Zhao; Chris Baker,https://doi.org/10.15607/rss.2020.xvi.069,https://doi.org/10.15607/rss.2020.xvi.069,5,robotics partial observability POMDP belief space planning | robot planning under uncertainty belief state POMDP,26.4959,3.8,POMDP/belief planning; motion planning/MPC; robust/risk/chance; learning/world models; multi-agent/human,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"Autonomous agents are limited in their ability to observe the world state. Partially observable Markov decision processes (POMDPs) formally model the problem of planning under world state uncertainty, but POMDPs with continuous actions and nonlinear dynamics suitable for robotics applications are challenging to solve. In this paper, we present an efficient differential dynamic programming (DDP) algorithm for belief space planning in POMDPs with uncertainty over a discrete latent state, and continuous states, actions, observations, and nonlinear dynamics. This representation allows planning of dynamic trajectories which are sensitive to structured uncertainty over discrete latent world states. We develop dynamic programming techniques to optimize a contingency plan over a tree of possible observations and belief space trajectories, and also derive a hierarchical version of the algorithm. Our method is applicable to problems with uncertainty over the cost or reward function (e.g., the configuration of goals or obstacles), uncertainty over the dynamics (e.g., the dynamical mode of a hybrid system), and uncertainty about interactions, where other agents' behavior is conditioned on latent intentions. Benchmarks show that our algorithm outperforms popular heuristic approaches to planning under uncertainty, and results from an autonomous lane changing task demonstrate that our algorithm can synthesize robust interactive trajectories."
